timestamp,SI Transform,NDI Transform
2026-07-18 20:49:44.707873-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 8.57192439e-01  5.14964198e-01 -5.74438909e-03 -9.15500000e+01]
 [-5.13091810e-01  8.53011093e-01 -9.54403962e-02  1.09000000e+01]
 [-4.42483594e-02  8.47581849e-02  9.95418572e-01 -2.19178000e+03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
2026-07-18 20:49:44.760304-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 8.56944375e-01  5.15397622e-01 -3.41012311e-03 -9.15400000e+01]
 [-5.13373311e-01  8.52953763e-01 -9.44336861e-02  1.09000000e+01]
 [-4.57622199e-02  8.26750824e-02  9.95525314e-01 -2.19178000e+03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
2026-07-18 20:49:44.826135-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 8.57158802e-01  5.15036431e-01 -4.03259844e-03 -9.15500000e+01]
 [-5.12959323e-01  8.52944497e-01 -9.67389161e-02  1.09100000e+01]
 [-4.63844835e-02  8.49891724e-02  9.95301623e-01 -2.19182000e+03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
2026-07-18 20:49:44.859275-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 8.57139668e-01  5.15074194e-01 -3.18816148e-03 -9.15500000e+01]
 [-5.12962956e-01  8.53032493e-01 -9.59404601e-02  1.09100000e+01]
 [-4.66968498e-02  8.38697829e-02  9.95381969e-01 -2.19182000e+03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
2026-07-18 20:49:44.870075-07:00,"[[-0.28351 -0.633    0.72037 -0.00555]
 [-0.93041  0.36353 -0.04674  0.85757]
 [-0.23229 -0.68349 -0.69202  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 8.57139668e-01  5.15074194e-01 -3.18816148e-03 -9.15500000e+01]
 [-5.12962956e-01  8.53032493e-01 -9.59404601e-02  1.09100000e+01]
 [-4.66968498e-02  8.38697829e-02  9.95381969e-01 -2.19182000e+03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
2026-07-18 20:49:44.924420-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 8.57154769e-01  5.15044372e-01 -3.87248400e-03 -9.15400000e+01]
 [-5.12980408e-01  8.52996815e-01 -9.61641055e-02  1.09100000e+01]
 [-4.62255648e-02  8.44140301e-02  9.95357960e-01 -2.19179000e+03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
2026-07-18 20:49:44.993327-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 8.57152095e-01  5.15049615e-01 -3.76573564e-03 -9.15400000e+01]
 [-5.12994413e-01  8.53031510e-01 -9.57808708e-02  1.09100000e+01]
 [-4.61196095e-02  8.40305754e-02  9.95395320e-01 -2.19176000e+03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
2026-07-18 20:49:45.043567-07:00,"[[-0.28351 -0.633    0.72037 -0.00555]
 [-0.93041  0.36353 -0.04674  0.85757]
 [-0.23229 -0.68349 -0.69202  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 8.57146522e-01  5.15060848e-01 -3.48744050e-03 -9.15400000e+01]
 [-5.12959366e-01  8.52997468e-01 -9.62704968e-02  1.09000000e+01]
 [-4.66103858e-02  8.43068368e-02  9.95349099e-01 -2.19176000e+03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
2026-07-18 20:49:45.101505-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 8.57162868e-01  5.15027855e-01 -4.25753057e-03 -9.15500000e+01]
 [-5.13001408e-01  8.52996174e-01 -9.60577055e-02  1.09100000e+01]
 [-4.58407367e-02  8.45212175e-02  9.95366661e-01 -2.19184000e+03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
2026-07-18 20:49:45.167877-07:00,"[[-0.28351 -0.633    0.72037 -0.00555]
 [-0.93041  0.36353 -0.04674  0.85757]
 [-0.23229 -0.68349 -0.69202  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 8.57169479e-01  5.15014002e-01 -4.58921324e-03 -9.15500000e+01]
 [-5.13029296e-01  8.53012910e-01 -9.57596787e-02  1.09100000e+01]
 [-4.54029172e-02  8.44366748e-02  9.95393903e-01 -2.19180000e+03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
2026-07-18 20:49:45.221215-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 8.57244033e-01  5.14899386e-01 -3.35998433e-03 -9.15400000e+01]
 [-5.12737570e-01  8.53009697e-01 -9.73377680e-02  1.09100000e+01]
 [-4.72530578e-02  8.51650110e-02  9.95245733e-01 -2.19176000e+03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
2026-07-18 20:49:45.233350-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 8.57244033e-01  5.14899386e-01 -3.35998433e-03 -9.15400000e+01]
 [-5.12737570e-01  8.53009697e-01 -9.73377680e-02  1.09100000e+01]
 [-4.72530578e-02  8.51650110e-02  9.95245733e-01 -2.19176000e+03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
2026-07-18 20:49:45.287334-07:00,"[[-0.28351 -0.633    0.72037 -0.00555]
 [-0.93041  0.36353 -0.04674  0.85757]
 [-0.23229 -0.68349 -0.69202  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 8.57062317e-01  5.15195264e-01 -4.24564941e-03 -9.15500000e+01]
 [-5.13204731e-01  8.52966112e-01 -9.52350528e-02  1.09100000e+01]
 [-4.54432531e-02  8.38012624e-02  9.95445759e-01 -2.19179000e+03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
2026-07-18 20:49:45.354039-07:00,"[[-0.2836  -0.633    0.72034 -0.00555]
 [-0.9304   0.36353 -0.04685  0.85757]
 [-0.23221 -0.68349 -0.69204  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 8.57147864e-01  5.15058251e-01 -3.54081644e-03 -9.15400000e+01]
 [-5.12952309e-01  8.52980065e-01 -9.64621040e-02  1.09100000e+01]
 [-4.66633568e-02  8.44985564e-02  9.95330360e-01 -2.19172000e+03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
2026-07-18 20:49:45.398298-07:00,"[[-0.28351 -0.633    0.72037 -0.00555]
 [-0.93041  0.36353 -0.04674  0.85757]
 [-0.23229 -0.68349 -0.69202  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 8.57264745e-01  5.14857720e-01 -4.32259994e-03 -9.15500000e+01]
 [-5.12790697e-01  8.53008058e-01 -9.70719041e-02  1.09100000e+01]
 [-4.62910066e-02  8.54329102e-02  9.95267984e-01 -2.19176000e+03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
