frame_number,video_timestamp,matched_timestamp,time_difference,NDI Transform,SI Transform
310,2026-07-27 11:14:09.180623-07:00,,,,
311,2026-07-27 11:14:09.217494-07:00,,,,
312,2026-07-27 11:14:09.244422-07:00,,,,
313,2026-07-27 11:14:09.278331-07:00,,,,
314,2026-07-27 11:14:09.312241-07:00,,,,
315,2026-07-27 11:14:09.346151-07:00,,,,
316,2026-07-27 11:14:09.379062-07:00,,,,
317,2026-07-27 11:14:09.414967-07:00,,,,
318,2026-07-27 11:14:09.447879-07:00,,,,
319,2026-07-27 11:14:09.481787-07:00,,,,
320,2026-07-27 11:14:09.513714-07:00,,,,
321,2026-07-27 11:14:09.547611-07:00,,,,
322,2026-07-27 11:14:09.586508-07:00,,,,
323,2026-07-27 11:14:09.624406-07:00,,,,
324,2026-07-27 11:14:09.645350-07:00,,,,
325,2026-07-27 11:14:09.680256-07:00,,,,
326,2026-07-27 11:14:09.715163-07:00,,,,
327,2026-07-27 11:14:09.749073-07:00,,,,
328,2026-07-27 11:14:09.781987-07:00,,,,
329,2026-07-27 11:14:09.814903-07:00,,,,
330,2026-07-27 11:14:09.847809-07:00,,,,
331,2026-07-27 11:14:09.881717-07:00,,,,
332,2026-07-27 11:14:09.914630-07:00,,,,
333,2026-07-27 11:14:09.948539-07:00,,,,
334,2026-07-27 11:14:09.981451-07:00,,,,
335,2026-07-27 11:14:10.014363-07:00,,,,
336,2026-07-27 11:14:10.044284-07:00,,,,
337,2026-07-27 11:14:10.081206-07:00,,,,
338,2026-07-27 11:14:10.115095-07:00,,,,
339,2026-07-27 11:14:10.148008-07:00,,,,
340,2026-07-27 11:14:10.180917-07:00,,,,
341,2026-07-27 11:14:10.215864-07:00,,,,
342,2026-07-27 11:14:10.248737-07:00,,,,
343,2026-07-27 11:14:10.282657-07:00,,,,
344,2026-07-27 11:14:10.314568-07:00,,,,
345,2026-07-27 11:14:10.348497-07:00,,,,
346,2026-07-27 11:14:10.381382-07:00,,,,
347,2026-07-27 11:14:10.415328-07:00,,,,
348,2026-07-27 11:14:10.446231-07:00,,,,
349,2026-07-27 11:14:10.483109-07:00,,,,
350,2026-07-27 11:14:10.515024-07:00,,,,
351,2026-07-27 11:14:10.547969-07:00,,,,
352,2026-07-27 11:14:10.582844-07:00,,,,
353,2026-07-27 11:14:10.615755-07:00,,,,
354,2026-07-27 11:14:10.648667-07:00,,,,
355,2026-07-27 11:14:10.682577-07:00,,,,
356,2026-07-27 11:14:10.716487-07:00,,,,
357,2026-07-27 11:14:10.750396-07:00,,,,
358,2026-07-27 11:14:10.790288-07:00,,,,
359,2026-07-27 11:14:10.818222-07:00,,,,
360,2026-07-27 11:14:10.846144-07:00,,,,
361,2026-07-27 11:14:10.882042-07:00,,,,
362,2026-07-27 11:14:10.915952-07:00,,,,
363,2026-07-27 11:14:10.949861-07:00,,,,
364,2026-07-27 11:14:10.982773-07:00,,,,
365,2026-07-27 11:14:11.016682-07:00,,,,
366,2026-07-27 11:14:11.048597-07:00,,,,
367,2026-07-27 11:14:11.091486-07:00,,,,
368,2026-07-27 11:14:11.117414-07:00,,,,
369,2026-07-27 11:14:11.149328-07:00,,,,
370,2026-07-27 11:14:11.182240-07:00,,,,
371,2026-07-27 11:14:11.222143-07:00,,,,
372,2026-07-27 11:14:11.248069-07:00,,,,
373,2026-07-27 11:14:11.283003-07:00,,,,
374,2026-07-27 11:14:11.315883-07:00,,,,
375,2026-07-27 11:14:11.349820-07:00,,,,
376,2026-07-27 11:14:11.383747-07:00,,,,
