frame_number,video_timestamp,matched_timestamp,time_difference,NDI Transform,SI Transform
179,2026-07-27 11:03:07.634121-07:00,,,,
180,2026-07-27 11:03:07.667033-07:00,,,,
181,2026-07-27 11:03:07.700947-07:00,,,,
182,2026-07-27 11:03:07.733860-07:00,,,,
183,2026-07-27 11:03:07.767769-07:00,,,,
184,2026-07-27 11:03:07.800681-07:00,,,,
185,2026-07-27 11:03:07.837583-07:00,,,,
186,2026-07-27 11:03:07.868499-07:00,,,,
187,2026-07-27 11:03:07.900414-07:00,,,,
188,2026-07-27 11:03:07.935321-07:00,,,,
189,2026-07-27 11:03:07.968820-07:00,,,,
190,2026-07-27 11:03:08.002765-07:00,,,,
191,2026-07-27 11:03:08.036638-07:00,,,,
192,2026-07-27 11:03:08.067556-07:00,,,,
193,2026-07-27 11:03:08.101466-07:00,,,,
194,2026-07-27 11:03:08.133379-07:00,,,,
195,2026-07-27 11:03:08.167289-07:00,,,,
196,2026-07-27 11:03:08.201198-07:00,,,,
197,2026-07-27 11:03:08.235107-07:00,,,,
198,2026-07-27 11:03:08.275001-07:00,,,,
199,2026-07-27 11:03:08.305919-07:00,,,,
200,2026-07-27 11:03:08.343817-07:00,,,,
201,2026-07-27 11:03:08.370746-07:00,,,,
202,2026-07-27 11:03:08.402660-07:00,,,,
203,2026-07-27 11:03:08.436569-07:00,,,,
204,2026-07-27 11:03:08.472474-07:00,,,,
205,2026-07-27 11:03:08.505387-07:00,,,,
206,2026-07-27 11:03:08.539295-07:00,,,,
207,2026-07-27 11:03:08.570211-07:00,,,,
208,2026-07-27 11:03:08.605120-07:00,,,,
209,2026-07-27 11:03:08.637033-07:00,,,,
210,2026-07-27 11:03:08.671941-07:00,,,,
211,2026-07-27 11:03:08.702857-07:00,,,,
212,2026-07-27 11:03:08.736766-07:00,,,,
213,2026-07-27 11:03:08.771673-07:00,,,,
214,2026-07-27 11:03:08.806582-07:00,,,,
215,2026-07-27 11:03:08.838495-07:00,,,,
216,2026-07-27 11:03:08.868413-07:00,,,,
217,2026-07-27 11:03:08.905317-07:00,,,,
218,2026-07-27 11:03:08.939224-07:00,,,,
219,2026-07-27 11:03:08.971140-07:00,,,,
220,2026-07-27 11:03:09.004051-07:00,,,,
221,2026-07-27 11:03:09.037961-07:00,,,,
222,2026-07-27 11:03:09.070873-07:00,,,,
223,2026-07-27 11:03:09.103784-07:00,,,,
224,2026-07-27 11:03:09.138692-07:00,,,,
225,2026-07-27 11:03:09.171604-07:00,,,,
226,2026-07-27 11:03:09.203522-07:00,,,,
227,2026-07-27 11:03:09.238427-07:00,,,,
228,2026-07-27 11:03:09.268344-07:00,,,,
229,2026-07-27 11:03:09.308238-07:00,,,,
230,2026-07-27 11:03:09.345794-07:00,,,,
231,2026-07-27 11:03:09.371725-07:00,,,,
232,2026-07-27 11:03:09.405635-07:00,,,,
233,2026-07-27 11:03:09.438546-07:00,,,,
