frame_number,video_timestamp,matched_timestamp,time_difference,NDI Transform,SI Transform
4693,2026-07-28 15:13:55.196678-07:00,2026-07-28 15:13:55.200669-07:00,0 days 00:00:00.003991,"[[-0.52565463  0.78543964  0.3267595  -0.01284   ]
 [-0.78992761 -0.59323079  0.15521468 -0.15049   ]
 [ 0.31575556 -0.17652703  0.93227498 -1.95417   ]
 [ 0.          0.          0.          1.        ]]","[[-0.22345  0.94548  0.23695 -0.02837]
 [ 0.85507  0.30683 -0.41798  0.81745]
 [-0.4679   0.10921 -0.87701  0.35094]
 [ 0.       0.       0.       1.     ]]"
4694,2026-07-28 15:13:55.228611-07:00,2026-07-28 15:13:55.200669-07:00,0 days 00:00:00.027942,"[[-0.52565463  0.78543964  0.3267595  -0.01284   ]
 [-0.78992761 -0.59323079  0.15521468 -0.15049   ]
 [ 0.31575556 -0.17652703  0.93227498 -1.95417   ]
 [ 0.          0.          0.          1.        ]]","[[-0.22345  0.94548  0.23695 -0.02837]
 [ 0.85507  0.30683 -0.41798  0.81745]
 [-0.4679   0.10921 -0.87701  0.35094]
 [ 0.       0.       0.       1.     ]]"
4695,2026-07-28 15:13:55.265493-07:00,2026-07-28 15:13:55.260506-07:00,0 days 00:00:00.004987,"[[-0.52951393  0.78440366  0.3229952  -0.01264   ]
 [-0.79011151 -0.59463198  0.14878379 -0.15045   ]
 [ 0.30876982 -0.17641914  0.93463227 -1.95398   ]
 [ 0.          0.          0.          1.        ]]","[[-0.21823  0.94649  0.23775 -0.02839]
 [ 0.85672  0.30247 -0.41778  0.81756]
 [-0.46734  0.11252 -0.87689  0.35084]
 [ 0.       0.       0.       1.     ]]"
4696,2026-07-28 15:13:55.298404-07:00,2026-07-28 15:13:55.320344-07:00,0 days 00:00:00.021940,"[[-0.52992873  0.78446119  0.32217416 -0.01253   ]
 [-0.79029432 -0.59461006  0.14789781 -0.15038   ]
 [ 0.30758809 -0.17623711  0.93505617 -1.95393   ]
 [ 0.          0.          0.          1.        ]]","[[-0.21545  0.947    0.23827 -0.02844]
 [ 0.85712  0.3003  -0.41853  0.81769]
 [-0.4679   0.11405 -0.87639  0.3507 ]
 [ 0.       0.       0.       1.     ]]"
4697,2026-07-28 15:13:55.331315-07:00,2026-07-28 15:13:55.320344-07:00,0 days 00:00:00.010971,"[[-0.52992873  0.78446119  0.32217416 -0.01253   ]
 [-0.79029432 -0.59461006  0.14789781 -0.15038   ]
 [ 0.30758809 -0.17623711  0.93505617 -1.95393   ]
 [ 0.          0.          0.          1.        ]]","[[-0.21545  0.947    0.23827 -0.02844]
 [ 0.85712  0.3003  -0.41853  0.81769]
 [-0.4679   0.11405 -0.87639  0.3507 ]
 [ 0.       0.       0.       1.     ]]"
4698,2026-07-28 15:13:55.366220-07:00,2026-07-28 15:13:55.380182-07:00,0 days 00:00:00.013962,"[[-0.52992672  0.78489322  0.3211235  -0.01247   ]
 [-0.79056654 -0.59425507  0.14786973 -0.15034   ]
 [ 0.30689122 -0.17550938  0.93542196 -1.95392   ]
 [ 0.          0.          0.          1.        ]]","[[-0.2159   0.94691  0.2382  -0.02851]
 [ 0.85723  0.30062 -0.41807  0.81777]
 [-0.46749  0.11393 -0.87663  0.35063]
 [ 0.       0.       0.       1.     ]]"
4699,2026-07-28 15:13:55.399132-07:00,2026-07-28 15:13:55.380182-07:00,0 days 00:00:00.018950,"[[-0.52992672  0.78489322  0.3211235  -0.01247   ]
 [-0.79056654 -0.59425507  0.14786973 -0.15034   ]
 [ 0.30689122 -0.17550938  0.93542196 -1.95392   ]
 [ 0.          0.          0.          1.        ]]","[[-0.2159   0.94691  0.2382  -0.02851]
 [ 0.85723  0.30062 -0.41807  0.81777]
 [-0.46749  0.11393 -0.87663  0.35063]
 [ 0.       0.       0.       1.     ]]"
4700,2026-07-28 15:13:55.431075-07:00,2026-07-28 15:13:55.440021-07:00,0 days 00:00:00.008946,"[[-0.52970664  0.78504466  0.32111642 -0.01242   ]
 [-0.79071846 -0.59404045  0.14791977 -0.15026   ]
 [ 0.30687976 -0.1755586   0.93541648 -1.95388   ]
 [ 0.          0.          0.          1.        ]]","[[-0.21685  0.94682  0.23771 -0.02857]
 [ 0.85714  0.30122 -0.41784  0.81781]
 [-0.46722  0.11314 -0.87687  0.35058]
 [ 0.       0.       0.       1.     ]]"
4701,2026-07-28 15:13:55.465950-07:00,2026-07-28 15:13:55.484899-07:00,0 days 00:00:00.018949,"[[-0.52920931  0.78547855  0.32087528 -0.01236   ]
 [-0.7910082  -0.59354342  0.14836519 -0.15019   ]
 [ 0.30699109 -0.17529874  0.93542869 -1.95392   ]
 [ 0.          0.          0.          1.        ]]","[[-0.21652  0.94697  0.23742 -0.02864]
 [ 0.85742  0.30074 -0.41759  0.81785]
 [-0.46685  0.11315 -0.87707  0.35053]
 [ 0.       0.       0.       1.     ]]"
4702,2026-07-28 15:13:55.498861-07:00,2026-07-28 15:13:55.484899-07:00,0 days 00:00:00.013962,"[[-0.52920931  0.78547855  0.32087528 -0.01236   ]
 [-0.7910082  -0.59354342  0.14836519 -0.15019   ]
 [ 0.30699109 -0.17529874  0.93542869 -1.95392   ]
 [ 0.          0.          0.          1.        ]]","[[-0.21652  0.94697  0.23742 -0.02864]
 [ 0.85742  0.30074 -0.41759  0.81785]
 [-0.46685  0.11315 -0.87707  0.35053]
 [ 0.       0.       0.       1.     ]]"
4703,2026-07-28 15:13:55.532770-07:00,2026-07-28 15:13:55.545243-07:00,0 days 00:00:00.012473,"[[-0.52956794  0.78571436  0.31970415 -0.0123    ]
 [-0.79164165 -0.59316628  0.14648302 -0.15009   ]
 [ 0.30473153 -0.17551841  0.93612605 -1.95387   ]
 [ 0.          0.          0.          1.        ]]","[[-0.21753  0.94713  0.23587 -0.02878]
 [ 0.85788  0.30078 -0.41662  0.81787]
 [-0.46554  0.11172 -0.87795  0.35043]
 [ 0.       0.       0.       1.     ]]"
4704,2026-07-28 15:13:55.562226-07:00,2026-07-28 15:13:55.545243-07:00,0 days 00:00:00.016983,"[[-0.52956794  0.78571436  0.31970415 -0.0123    ]
 [-0.79164165 -0.59316628  0.14648302 -0.15009   ]
 [ 0.30473153 -0.17551841  0.93612605 -1.95387   ]
 [ 0.          0.          0.          1.        ]]","[[-0.21753  0.94713  0.23587 -0.02878]
 [ 0.85788  0.30078 -0.41662  0.81787]
 [-0.46554  0.11172 -0.87795  0.35043]
 [ 0.       0.       0.       1.     ]]"
4705,2026-07-28 15:13:55.597136-07:00,2026-07-28 15:13:55.605082-07:00,0 days 00:00:00.007946,"[[-0.52907407  0.78596246  0.31991193 -0.01225   ]
 [-0.79210336 -0.59265585  0.1460524  -0.15001   ]
 [ 0.30438938 -0.17613078  0.93612235 -1.95393   ]
 [ 0.          0.          0.          1.        ]]","[[-0.21831  0.94722  0.23477 -0.02892]
 [ 0.85816  0.30089 -0.41597  0.81786]
 [-0.46465  0.11066 -0.87855  0.35037]
 [ 0.       0.       0.       1.     ]]"
4706,2026-07-28 15:13:55.632008-07:00,2026-07-28 15:13:55.650464-07:00,0 days 00:00:00.018456,"[[-0.5283282   0.78642737  0.32000204 -0.0122    ]
 [-0.79229236 -0.59213644  0.14713003 -0.14987   ]
 [ 0.30519195 -0.17580223  0.93592278 -1.954     ]
 [ 0.          0.          0.          1.        ]]","[[-0.21868  0.94717  0.23464 -0.02907]
 [ 0.85813  0.30114 -0.41584  0.81784]
 [-0.46453  0.11042 -0.87865  0.35032]
 [ 0.       0.       0.       1.     ]]"
4707,2026-07-28 15:13:55.668444-07:00,2026-07-28 15:13:55.650464-07:00,0 days 00:00:00.017980,"[[-0.5283282   0.78642737  0.32000204 -0.0122    ]
 [-0.79229236 -0.59213644  0.14713003 -0.14987   ]
 [ 0.30519195 -0.17580223  0.93592278 -1.954     ]
 [ 0.          0.          0.          1.        ]]","[[-0.21868  0.94717  0.23464 -0.02907]
 [ 0.85813  0.30114 -0.41584  0.81784]
 [-0.46453  0.11042 -0.87865  0.35032]
 [ 0.       0.       0.       1.     ]]"
