timestamp,SI Transform,NDI Transform
2026-07-18 20:49:44.310950-07:00,"[[-0.2836  -0.633    0.72034 -0.00555]
 [-0.9304   0.36353 -0.04685  0.85757]
 [-0.23221 -0.68349 -0.69204  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 0.85731292  0.51476731 -0.00540051 -0.09155   ]
 [-0.51285369  0.85312156 -0.09573248  0.01091   ]
 [-0.04467265  0.08484236  0.99539245 -2.1918    ]
 [ 0.          0.          0.          1.        ]]"
2026-07-18 20:49:44.363920-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 0.85722742  0.51493117 -0.00265476 -0.09155   ]
 [-0.51275916  0.85311513 -0.09629447  0.01091   ]
 [-0.04732021  0.08390751  0.99534935 -2.19178   ]
 [ 0.          0.          0.          1.        ]]"
2026-07-18 20:49:44.375084-07:00,"[[-0.2836  -0.633    0.72034 -0.00555]
 [-0.9304   0.36353 -0.04685  0.85757]
 [-0.23221 -0.68349 -0.69204  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 0.85722742  0.51493117 -0.00265476 -0.09155   ]
 [-0.51275916  0.85311513 -0.09629447  0.01091   ]
 [-0.04732021  0.08390751  0.99534935 -2.19178   ]
 [ 0.          0.          0.          1.        ]]"
2026-07-18 20:49:44.409055-07:00,"[[-0.2836  -0.633    0.72034 -0.00555]
 [-0.9304   0.36353 -0.04685  0.85757]
 [-0.23221 -0.68349 -0.69204  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 0.85715616  0.5150414  -0.00395826 -0.09155   ]
 [-0.51300488  0.85303119 -0.09572767  0.01091   ]
 [-0.04592719  0.08408417  0.99539969 -2.19181   ]
 [ 0.          0.          0.          1.        ]]"
2026-07-18 20:49:44.474307-07:00,"[[-0.2836  -0.633    0.72034 -0.00555]
 [-0.9304   0.36353 -0.04685  0.85757]
 [-0.23221 -0.68349 -0.69204  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 0.8571266   0.51509936 -0.00257823 -0.09154   ]
 [-0.51289943  0.85298175 -0.09672804  0.0109    ]
 [-0.04762537  0.08423055  0.99530751 -2.19182   ]
 [ 0.          0.          0.          1.        ]]"
2026-07-18 20:49:44.528866-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 0.85714368  0.51506649 -0.0033483  -0.09155   ]
 [-0.51294175  0.8529804  -0.0965153   0.0109    ]
 [-0.04685576  0.08444496  0.99532587 -2.19178   ]
 [ 0.          0.          0.          1.        ]]"
2026-07-18 20:49:44.541187-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 0.85714368  0.51506649 -0.0033483  -0.09155   ]
 [-0.51294175  0.8529804  -0.0965153   0.0109    ]
 [-0.04685576  0.08444496  0.99532587 -2.19178   ]
 [ 0.          0.          0.          1.        ]]"
2026-07-18 20:49:44.595344-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 0.85714953  0.51505443 -0.00369138 -0.09155   ]
 [-0.51303962  0.85311728 -0.09476948  0.01091   ]
 [-0.04566226  0.08312544  0.9954924  -2.19178   ]
 [ 0.          0.          0.          1.        ]]"
2026-07-18 20:49:44.660335-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 0.85705032  0.51521943 -0.00370043 -0.09155   ]
 [-0.51320473  0.85301829 -0.0947666   0.01091   ]
 [-0.04566906  0.08311882  0.99549264 -2.19182   ]
 [ 0.          0.          0.          1.        ]]"
2026-07-18 20:49:44.693287-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 0.85719244  0.5149642  -0.00574439 -0.09155   ]
 [-0.51309181  0.85301109 -0.0954404   0.0109    ]
 [-0.04424836  0.08475818  0.99541857 -2.19178   ]
 [ 0.          0.          0.          1.        ]]"
2026-07-18 20:49:44.707873-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 0.85719244  0.5149642  -0.00574439 -0.09155   ]
 [-0.51309181  0.85301109 -0.0954404   0.0109    ]
 [-0.04424836  0.08475818  0.99541857 -2.19178   ]
 [ 0.          0.          0.          1.        ]]"
2026-07-18 20:49:44.760304-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 0.85694438  0.51539762 -0.00341012 -0.09154   ]
 [-0.51337331  0.85295376 -0.09443369  0.0109    ]
 [-0.04576222  0.08267508  0.99552531 -2.19178   ]
 [ 0.          0.          0.          1.        ]]"
2026-07-18 20:49:44.826135-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 0.8571588   0.51503643 -0.0040326  -0.09155   ]
 [-0.51295932  0.8529445  -0.09673892  0.01091   ]
 [-0.04638448  0.08498917  0.99530162 -2.19182   ]
 [ 0.          0.          0.          1.        ]]"
2026-07-18 20:49:44.859275-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 0.85713967  0.51507419 -0.00318816 -0.09155   ]
 [-0.51296296  0.85303249 -0.09594046  0.01091   ]
 [-0.04669685  0.08386978  0.99538197 -2.19182   ]
 [ 0.          0.          0.          1.        ]]"
2026-07-18 20:49:44.870075-07:00,"[[-0.28351 -0.633    0.72037 -0.00555]
 [-0.93041  0.36353 -0.04674  0.85757]
 [-0.23229 -0.68349 -0.69202  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 0.85713967  0.51507419 -0.00318816 -0.09155   ]
 [-0.51296296  0.85303249 -0.09594046  0.01091   ]
 [-0.04669685  0.08386978  0.99538197 -2.19182   ]
 [ 0.          0.          0.          1.        ]]"
2026-07-18 20:49:44.924420-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 0.85715477  0.51504437 -0.00387248 -0.09154   ]
 [-0.51298041  0.85299681 -0.09616411  0.01091   ]
 [-0.04622556  0.08441403  0.99535796 -2.19179   ]
 [ 0.          0.          0.          1.        ]]"
2026-07-18 20:49:44.993327-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 0.85715209  0.51504961 -0.00376574 -0.09154   ]
 [-0.51299441  0.85303151 -0.09578087  0.01091   ]
 [-0.04611961  0.08403058  0.99539532 -2.19176   ]
 [ 0.          0.          0.          1.        ]]"
2026-07-18 20:49:45.043567-07:00,"[[-0.28351 -0.633    0.72037 -0.00555]
 [-0.93041  0.36353 -0.04674  0.85757]
 [-0.23229 -0.68349 -0.69202  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 0.85714652  0.51506085 -0.00348744 -0.09154   ]
 [-0.51295937  0.85299747 -0.0962705   0.0109    ]
 [-0.04661039  0.08430684  0.9953491  -2.19176   ]
 [ 0.          0.          0.          1.        ]]"
2026-07-18 20:49:45.101505-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 0.85716287  0.51502785 -0.00425753 -0.09155   ]
 [-0.51300141  0.85299617 -0.09605771  0.01091   ]
 [-0.04584074  0.08452122  0.99536666 -2.19184   ]
 [ 0.          0.          0.          1.        ]]"
